release_date,title,url,description,running_time,budget,box_office,starring,movie_summary,tags,genre
"December 21, 1937",Snow White and the Seven Dwarfs,https://en.wikipedia.org/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),"Having lost both of her parents at a young age, Snow White is a princess living with her wicked and cold-hearted stepmother, the Queen.[a] Fearing that Snow White's beauty will outshine her own, the Queen forces her to work as a scullery maid and asks her Magic Mirror daily ""who is the fairest one of all."" For years, the mirror always answers that the Queen is, pleasing her.

One day, Snow White meets and falls in love with a prince who overhears her singing. On that same day, the Magic Mirror informs the Queen that Snow White is now the fairest in all of the land. Angered, the Queen orders her Huntsman to take Snow White into the forest, kill her, and bring back her heart in a jeweled box as proof. The Huntsman cannot bring himself to kill Snow White and reveals to her the Queen's plot. He then urges her to flee into the woods and never return.

Lost and frightened, Snow White is befriended by woodland animals who lead her to a cottage deep in the woods. Finding seven small chairs in the cottage's dining room, Snow White assumes the cottage is the untidy home of seven orphaned children. With the animals' help, she proceeds to clean the place and cook a meal. Snow White soon learns that the cottage is the home of seven dwarfs named Doc, Grumpy, Happy, Sleepy, Bashful, Sneezy, and Dopey, who work in a nearby mine. Returning home, they are alarmed to find their cottage clean, and suspect that an intruder has invaded their home. Snow White introduces herself, and the dwarfs welcome her after she offers to clean and cook for them. Snow White keeps house for the dwarfs while they mine for jewels during the day; and at night, they all sing, play music, and dance.

Back at the castle, the Magic Mirror reveals that Snow White is still living, and with the dwarfs. Enraged that the Huntsman tricked her, the Queen creates a poisoned apple that will put whoever eats it into a death-like sleep. She learns the curse can be broken by ""love's first kiss,"" but is certain Snow White will be buried alive before this can happen. Using a potion to disguise herself as an old hag, the Queen goes to the cottage while the dwarfs are away. The animals see through the disguise, but are unable to warn Snow White; they rush off to find the dwarfs. The Queen fools Snow White into biting into the apple, and she falls into a death-like slumber.

The dwarfs return with the animals as the Queen leaves the cottage, and give chase, trapping her on a cliff. She tries to roll a boulder onto them, but lightning strikes the cliff before she can do so, causing her to fall and get crushed to death by the boulder. In their cottage, the dwarfs find Snow White asleep by the poison. Unwilling to bury her in the ground, they instead place her in a glass coffin in the forest. Together with the animals, they keep watch over her.

The following spring, the prince learns of Snow White's eternal sleep and visits the coffin. Saddened by her apparent death, he kisses her, which breaks the spell and awakens her. The dwarfs and animals all rejoice as the prince takes Snow White to his castle.",83 minutes,$1.5 million[1],$418 million[2],,"Having lost both of her parents at a young age, Snow White is a princess living with her wicked stepmother, the Queen, who fears that Snow White's beauty will surpass her own. The Queen orders her Huntsman to kill Snow White, but he cannot do it and instead helps her escape into the woods. There, Snow White finds a cottage inhabited by seven dwarfs, who welcome her into their home. The Queen, disguised as an old hag, tricks Snow White into eating a poisoned apple, putting her into a death-like sleep. Ultimately, a prince's kiss breaks the spell, awakening Snow White and leading to a joyful reunion with the dwarfs and a happily ever after.","['snow_white', 'wicked_queen', 'seven_dwarfs', 'poisoned_apple', 'true_love']","['Fantasy', 'Animation']"
"February 7, 1940",Pinocchio,https://en.wikipedia.org/wiki/Pinocchio_(1940_film),"In late-19th century Italy, Jiminy Cricket arrives at the shop of a woodworker and toymaker named Geppetto, who creates a puppet he names Pinocchio. As he falls asleep, Geppetto wishes upon a star for Pinocchio to be a real boy. Late that night, the Blue Fairy visits the workshop and brings Pinocchio to life, although he remains a puppet. She informs him that if he proves himself to be brave, truthful, and unselfish, he will become a real boy. When Jiminy reveals himself, the Blue Fairy assigns him to be Pinocchio's conscience. Geppetto awakens upon hearing the commotion from Pinocchio falling, and is overjoyed to discover that he is alive and will become a real boy.

The next morning, while walking to school, Pinocchio is led astray by con artist fox Honest John and his sidekick Gideon the Cat. Honest John convinces him to join Stromboli's puppet show, despite Jiminy's protestations. Pinocchio becomes Stromboli's star attraction, but when he tries to go home, Stromboli locks him in a bird cage and leaves to tour the world with Pinocchio. After Jiminy unsuccessfully tries to free his friend, the Blue Fairy appears, and an anxious Pinocchio lies about what happened, causing his nose to grow. The Blue Fairy restores his nose and frees Pinocchio when he promises to make amends, but warns him that she can offer no further help.

Meanwhile, a mysterious Coachman hires Honest John to find disobedient and naughty boys for him to take to Pleasure Island, a notorious and infamous place. Honest John, despite the legal risks and the Coachman's implication of what happens to the boys, persuades Pinocchio to take a vacation on Pleasure Island. On the way to the island, Pinocchio befriends Lampwick, a delinquent boy. At Pleasure Island, without rules or authority to enforce their activity, Pinocchio, Lampwick, and many other boys soon engage in vices such as vandalism, fighting, smoking and drinking. Jiminy eventually finds Pinocchio in a bar smoking and playing pool with Lampwick, and the two have a falling out after Pinocchio defends Lampwick for his actions. As Jiminy tries leaving Pleasure Island, he discovers that the island hides a horrible curse that transforms the boys into donkeys after making ""jackasses"" of themselves, and they are sold by the Coachman into slave labor. Pinocchio witnesses Lampwick transform into a donkey, and with Jiminy's help, he flees before he can be fully transformed, though he still has a donkey's ears and tail.

Upon returning home, Pinocchio and Jiminy find Geppetto's workshop deserted, and obtain a letter from the Blue Fairy in the form of a dove, stating that Geppetto had sailed to Pleasure Island in search of Pinocchio. He was swallowed by a gigantic and vicious sperm whale called Monstro and is now trapped in its belly. Determined to rescue his father, Pinocchio jumps into the Mediterranean Sea with Jiminy and is soon swallowed by Monstro, where he reunites with Geppetto. Pinocchio devises a scheme to make Monstro sneeze and allow them to escape, but the whale chases them and destroys their raft with his tail. Pinocchio selflessly pulls Geppetto to safety in a cove just as Monstro crashes into it and Pinocchio is killed.

Back at home, Geppetto, Jiminy, Figaro, and Cleo mourn Pinocchio. Having succeeded in proving himself brave, truthful, and unselfish, Pinocchio is revived and turned into a real human boy by the Blue Fairy, much to everyone's joy. As the group celebrates, Jiminy steps outside to thank the Fairy and is rewarded with a solid gold badge that certifies him as an official conscience.",88 minutes,$2.6 million[4],$164 million,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","In late-19th century Italy, a woodworker named Geppetto creates a puppet named Pinocchio and wishes upon a star for him to become a real boy. The Blue Fairy grants life to Pinocchio, who must prove himself brave, truthful, and unselfish to become human. Misled by con artists, Pinocchio faces various challenges, including being trapped by a puppeteer and lured to Pleasure Island, where boys are transformed into donkeys. After a series of adventures, including rescuing his father Geppetto from a whale, Pinocchio ultimately proves his worth and is transformed into a real boy by the Blue Fairy, with Jiminy Cricket becoming his official conscience.","['bravery', 'truthfulness', 'selflessness', 'adventure', 'friendship']","['Animation', 'Fantasy']"
"November 13, 1940",Fantasia,https://en.wikipedia.org/wiki/Fantasia_(1940_film),"Fantasia opens with live-action scenes of members of an orchestra gathering against a blue background and tuning their instruments in half-light, half-shadow. Master of ceremonies Deems Taylor enters the stage (also in half-light, half-shadow) and introduces the program.",126 minutes[1],$2.28 million[2][3],$76.4–$83.3 million (United States and Canada)[4][5],"['Leopold Stokowski', 'Deems Taylor']","Fantasia is a groundbreaking animated film that combines classical music with imaginative animation. The film features a series of animated segments set to pieces of classical music, showcasing the talents of the Philadelphia Orchestra conducted by Leopold Stokowski. Each segment presents a unique story, from the whimsical adventures of Mickey Mouse as the Sorcerer's Apprentice to the awe-inspiring depiction of the creation of the universe. The film is known for its innovative use of sound and visuals, creating a mesmerizing experience that transcends traditional storytelling. Fantasia celebrates the beauty of music and art, inviting audiences to experience the harmony between sound and imagery.","['classical_music', 'animation', 'orchestra', 'fantasy', 'art']","['Animation', 'Musical']"
"June 20, 1941",The Reluctant Dragon,https://en.wikipedia.org/wiki/The_Reluctant_Dragon_(1941_film),,74 minutes,"$600,000[2]","$960,000 (worldwide rentals) [3]",['Robert BenchleyFrances GiffordBuddy PepperNana Bryant'],,,
"October 23, 1941",Dumbo,https://en.wikipedia.org/wiki/Dumbo,"In Florida, while a large circus spends the off-season in its winter grounds, a flock of white storks delivers many babies to the animals. One elephant, Mrs. Jumbo, does not receive her baby, and keeps scanning the sky. The next spring, the circus sets out on a new tour. A belated stork catches up with the moving train and drops off the expected baby elephant, Jumbo Junior. The other elephants are initially delighted, until they see the baby has far-oversized ears, and promptly nickname him ""Dumbo"". Mrs. Jumbo shows her baby great care and love, defending him from teasing by other elephants.

Being clumsy due to his ears, Dumbo is made into a sideshow attraction. When some rowdy boys started to bully Dumbo and his ears, Mrs. Jumbo spanks their leader and throws hay bales at them. The circus staff remove Dumbo from the pen. Mrs. Jumbo flies into a rage, eventually dousing the ringmaster in a water tub. She is subsequently deemed mad and locked up in a cage. Dumbo is blamed for the incident, and then gets shunned by the other elephants.

After scaring off the other elephants, Timothy, a mouse that travels with the circus, befriends Dumbo and decides to make him a star. He whispers in the ringmaster's ear while the latter sleeps, convincing him to try a new stunt with Dumbo as the top of a pyramid of elephants. Dumbo trips on his ears during the show and knocks over the pyramid, injuring the other elephants and causing the big top to crash down. After this, the other elephants exile Dumbo completely. He is put in with the clowns' firemen act, regularly jumping from a ""burning building"" prop into a vat of pie filling. Despite his newfound popularity, he hates the job and becomes depressed.

Timothy decides to take Dumbo to see Mrs. Jumbo, but they cannot see each other's faces and can only intertwine trunks. Meanwhile, the clowns decide to increase the popularity of their fireman act by dangerously raising the platform Dumbo jumps from. In celebration of the plan, they drink champagne, and a bottle of it falls into a water vat. Crying after visiting his mother, Dumbo has the hiccups, so Timothy takes him to the vat for some water. Both of them get drunk, and hallucinate pink elephants.

Dumbo and Timothy are later discovered asleep high up in a tree by Dandy Crow and his gang of crows. Initially making fun of Timothy's assertion that Dumbo flew with his ears while drunk, the crows are soon moved by Dumbo's sad story. They decide to help Timothy, giving him a ""magic feather"" to help Dumbo fly. Holding the feather, Dumbo does indeed take off a second time. He and Timothy return to the circus with plans to surprise the audience.

During the clowns' fire act, Dumbo jumps off the platform and prepares to fly. He drops the feather, but Timothy assures him it was only a psychological aid. Dumbo successfully flies about the big top, much to the delight of the public. He throws a trunkful of peanuts to the other elephants as payback. Dumbo gains fame and fortune, Timothy becomes his new manager and signs him to a Hollywood contract, and Mrs. Jumbo is freed. She and Dumbo are given a private coach on the train. The crows wave goodbye to the elephants as they travel away.",64 minutes,"$950,000[2]",">$1.3 million (est. United States/Canada rentals, 1941)[3]",,"In Florida, a circus elephant named Dumbo is born with oversized ears, leading to ridicule and isolation from other elephants. After being separated from his mother, Mrs. Jumbo, Dumbo befriends a mouse named Timothy who helps him navigate the challenges of circus life. Despite being made a sideshow attraction, Dumbo discovers he can fly with the help of a magic feather. His newfound ability brings him fame and fortune, allowing him to reunite with his mother and gain acceptance from the other elephants. Ultimately, Dumbo's journey is one of self-acceptance and the power of friendship.","['circus', 'friendship', 'self_acceptance', 'flying_elephant', 'overcoming_adversity']","['Animation', 'Fantasy']"
"August 21, 1942",Bambi,https://en.wikipedia.org/wiki/Bambi,"In a Maine forest, a doe gives birth to a male fawn named Bambi, who will one day take over the position of Great Prince of the Forest, who guards the woodland creatures and (unbeknownst to Bambi himself) is his father. Bambi grows up very attached to his mother, with whom he spends most of his time.  The fawn is befriended by an eager, energetic male rabbit named Thumper, who helps to teach him to walk and speak, a young male skunk he mistakenly calls ""Flower"" (who is so flattered, he keeps the name) and a female fawn named Faline. Curious and inquisitive, Bambi frequently asks about the world around him and is cautioned about the dangers of life as a forest creature by his loving mother. One day out in a meadow, Bambi briefly sees the Great Prince but does not know that he is his father. As the Great Prince wanders uphill, he discovers the human hunter, named ""Man"" by all the animals, is coming and rushes down to the meadow to get everyone to safety. Bambi is briefly separated from his mother during that time but is escorted to her by the Great Prince as the three of them make it back in the forest just as Man fires his gun.

During Bambi's first winter, he and Thumper play in the snow while Flower hibernates. One day his mother takes him to find food when Man shows up again. As they run off, his mother is shot and killed by the hunter, leaving the little fawn mournful and alone. Taking pity on his abandoned son, the Great Prince leads Bambi home as he reveals to him that he is his father. Next year, Bambi has matured into a young stag, and his childhood friends have also entered young adulthood. They are warned about becoming ""twitterpated"" by Friend Owl and that they will eventually fall in love, but the trio views the concept of romance with scorn. Thumper and Flower soon encounter their beautiful romantic counterparts and abandon their former thoughts on love. Bambi himself encounters Faline as a beautiful doe. Their courtship is quickly interrupted by a belligerent older stag named Ronno, who attempts to force Faline away from Bambi. Bambi successfully manages to defeat Ronno in battle and earn the rights to the doe's affections.

Bambi is awakened afterward by the smell of smoke; he follows it and discovers it leads to a hunter camp. His father warns Bambi that Man has returned with more hunters. Bambi is separated from Faline in the turmoil, but finds her cornered by Man's vicious hunting dogs, which he manages to ward off. Bambi escapes them and is shot by Man, but survives. Meanwhile, at the ""Man's"" camp, their campfire suddenly spreads into the forest, resulting in a wildfire from which the forest residents flee in fear. Bambi, his father, Faline, and the forest animals manage to reach shelter on a riverbank. The following spring, Faline gives birth to twins under Bambi's watchful eye as the new Great Prince of the Forest.",70 minutes,"$858,000[2]",$267.4 million[3],,"In a Maine forest, a young fawn named Bambi is born and grows up under the care of his mother, befriending a rabbit named Thumper, a skunk named Flower, and a female fawn named Faline. As he matures, Bambi learns about the dangers of the forest, including the threat posed by humans, particularly a hunter known as 'Man.' After a tragic encounter that leaves him motherless, Bambi is guided by his father, the Great Prince of the Forest, who reveals his true identity. As Bambi grows into a young stag, he faces challenges including love, rivalry, and the dangers of the forest, ultimately leading to a fierce battle for Faline's affection and a confrontation with Man. The story culminates with Bambi becoming the new Great Prince, watching over his family and the forest he loves.","['bambi', 'forest', 'friendship', 'love', 'loss']","['Animation', 'Drama']"
"February 6, 1943",Saludos Amigos,https://en.wikipedia.org/wiki/Saludos_Amigos,,42 minutes,,$1 million (worldwide rentals) [2],,,,
"July 17, 1943",Victory Through Air Power,https://en.wikipedia.org/wiki/Victory_Through_Air_Power_(film),,65 min,"$788,000","$799,000",['Alexander de Seversky'],,,
"February 3, 1945",The Three Caballeros,https://en.wikipedia.org/wiki/The_Three_Caballeros,"The film, celebrating Donald Duck's 10th anniversary, consists of seven segments, each connected by a common theme. In the film, it is Donald Duck's birthday (namely Friday the 13th), and he receives three presents from friends in Latin America. The first present is a film projector, which shows him a documentary about birds called ""Aves Raras"". The first segment of the documentary tells the story of Pablo, a penguin seeking the warm weather of Equatorial South America. The next segment details some of the odd birds of Latin America. During this part of the documentary, he learns about the Aracuan Bird, who received his name because of his eccentric song. The documentary then shifts to the perspective of a man narrating a story from his childhood, where he discovers and befriends a donkey with the wings of a condor in Uruguay.

The next present is a book given to Donald by José, a native of Brazil. This book tells of Bahia (spelled ""Baía"" in the film), which is one of Brazil's 26 states. José shrinks them both down so that they can enter the book. Donald and José meet up with several of the locals, who dance a lively samba, and Donald ends up pining for one girl Yaya, the cookie seller, but fails and gets jealous of another man. After the journey, Donald and José leave the book.

Upon returning, Donald realizes that he is too small to open his third present. José shows Donald how to use ""black magic"" to return himself to the proper size. After opening the present, he meets Panchito, a native of Mexico. The trio take the name ""The Three Caballeros"" and have a short celebration. Panchito then presents Donald's next present, a piñata. Panchito tells Donald of the tradition behind the piñata. José and Panchito then blindfold Donald, and have him attempt to break open the piñata, eventually revealing many surprises. The celebration draws to a close when Donald is fired away by firecrackers in the shape of a ferocious toy bull (with which the firecrackers are lit by José with his cigar).

Throughout the film, the Aracuan Bird appears at random moments. He usually taunts everyone with his madcap antics, sometimes stealing José's cigar and trying to make José jealous. His most famous gag is when he re-routes a train that Donald and José are riding on by drawing new tracks, causing the train to disassemble.

The film consists of seven segments:

This segment is narrated by Sterling Holloway, reproducing images of the penguins of in Antarctica. In the segment, a penguin named Pablo is so fed up with the freezing conditions of the South Pole that he decides to leave his home for warmer climates, navigating the long coast of Chile (including the Juan Fernández Islands and Viña del Mar), passing by Lima (the capital of Peru) and Quito (the capital of Ecuador) before landing on the Galápagos Islands.[6]",71 minutes,,$3.355 million (worldwide rentals)[2],"['Joaquin Garay', 'Clarence Nash', 'José Oliveira', 'Aurora Miranda', 'Carmen Molina', 'Dora Luz']","The film celebrates Donald Duck's 10th anniversary with seven segments connected by a common theme of his birthday. On Friday the 13th, Donald receives three presents from friends in Latin America, starting with a film projector that shows a documentary about birds, including the story of Pablo the penguin seeking warmth. The second present is a book that shrinks Donald and his friend José, leading them to experience the vibrant culture of Bahia, Brazil. The final present introduces Panchito from Mexico, and together they form 'The Three Caballeros' and celebrate with a piñata. Throughout the film, the mischievous Aracuan Bird adds comedic chaos to their adventures.","['donald_duck', 'three_caballeros', 'latin_america', 'animation', 'birthday']","['Animation', 'Musical']"
"April 20, 1946",Make Mine Music,https://en.wikipedia.org/wiki/Make_Mine_Music,,75 minutes,$1.35 million[2],$3.275 million (worldwide rentals)[3],"['Nelson Eddy', 'Dinah Shore', 'Benny Goodman', 'Andrews Sisters', 'Jerry Colonna', 'Andy Russell', 'Sterling Holloway', 'David Lichine', 'Tania Riabouchinskaya', 'Lichine', 'Pied Piers', ""King's Men"", ""Ken Darby's Chorus""]",,,
